ITEM DESCRIPTION,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
TITO'S HANDMADE VODKA - 1.75L,27580.5,27889.33,486.83
CORONA EXTRA LOOSE NR - 12OZ,25064.0,24350.0,303160.83
HEINEKEN LOOSE NR - 12OZ,17761.0,16963.96,171950.21
MILLER LITE 30PK CAN - 12OZ,14440.0,14045.0,134486.4
BUD LIGHT 30PK CAN,12299.0,12120.0,96316.97
BOWMAN'S VODKA - 1.75L,12126.72,11945.16,164.0
MILLER LITE  HIGH GRAPHIC LOOSE NR - 12OZ,10373.77,10243.0,25632.34
STELLA ARTOIS LOOSE NR - 11.2OZ,10354.0,9995.0,22889.92
CORONA EXTRA 2/12 NR - 12OZ,9755.19,9312.46,247924.43
PINNACLE VODKA - 1.75L,8676.4,8558.81,74.0
