YEAR,MONTH,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES,YEAR_MONTH
2017,6,97357.26,94720.0,379390.83,2017-06
2017,7,92625.29,89083.25,316853.29,2017-07
2017,8,87111.78,89486.43000000001,382186.69,2017-08
2017,9,90452.6,85934.38,305440.53,2017-09
2017,10,89236.96,93035.97,303714.91,2017-10
2017,11,98316.19,103230.96,339305.66,2017-11
2017,12,131634.49,121129.51,306957.22,2017-12
2018,1,75791.77,74396.14,254517.67,2018-01
2018,2,77804.13,79256.78,265008.52,2018-02
2019,1,76100.53,76295.63,280381.24,2019-01
2019,2,80113.54,72415.98,248587.68,2019-02
2019,3,84441.04,91321.61,293260.72,2019-03
2019,4,80342.58,83633.9,298840.87,2019-04
2019,5,94953.1,88056.8,383791.58,2019-05
2019,6,90860.39,85743.73,346587.08,2019-06
2019,7,90763.48,101509.34,374971.48,2019-07
2019,8,90628.61,88873.7,349603.09,2019-08
2019,9,82126.21,84116.37,318046.02,2019-09
2019,10,88230.41,88425.59,350203.02999999997,2019-10
2019,11,101631.31,97169.75,299098.44,2019-11
2020,1,74318.77,75997.35,284114.72000000003,2020-01
2020,3,109411.29,110598.89,317452.98,2020-03
2020,7,94538.96,82706.57,418094.42,2020-07
2020,9,82108.68,76830.0,365347.61,2020-09
